time,state
2700.0,G
2701.0,G
2702.0,G
2703.0,G
2704.0,G
2705.0,G
2706.0,G
2707.0,G
2708.0,G
2709.0,G
2710.0,r
2711.0,r
2712.0,r
2713.0,r
2714.0,r
2715.0,r
2716.0,r
2717.0,r
2718.0,r
2719.0,r
2720.0,r
2721.0,r
2722.0,r
2723.0,r
2724.0,r
2725.0,r
2726.0,r
2727.0,r
2728.0,r
2729.0,r
2730.0,r
2731.0,r
2732.0,r
2733.0,r
2734.0,r
2735.0,r
2736.0,r
2737.0,r
2738.0,r
2739.0,r
2740.0,r
2741.0,r
2742.0,r
2743.0,r
2744.0,r
2745.0,G
2746.0,G
2747.0,G
2748.0,G
2749.0,G
2750.0,G
2751.0,G
2752.0,G
2753.0,G
2754.0,G
2755.0,G
2756.0,G
2757.0,G
2758.0,G
2759.0,G
2760.0,G
2761.0,G
2762.0,G
2763.0,G
2764.0,r
2765.0,r
2766.0,r
2767.0,r
2768.0,r
2769.0,r
2770.0,r
2771.0,r
2772.0,r
2773.0,r
2774.0,r
2775.0,r
2776.0,r
2777.0,r
2778.0,r
2779.0,r
2780.0,r
2781.0,r
2782.0,r
2783.0,r
2784.0,r
2785.0,r
2786.0,r
2787.0,r
2788.0,r
2789.0,r
2790.0,G
2791.0,G
2792.0,G
2793.0,G
2794.0,G
2795.0,G
2796.0,G
2797.0,G
2798.0,G
2799.0,G
2800.0,G
2801.0,G
2802.0,G
2803.0,G
2804.0,G
2805.0,G
2806.0,G
2807.0,G
2808.0,G
2809.0,r
2810.0,r
2811.0,r
2812.0,r
2813.0,r
2814.0,r
2815.0,r
2816.0,r
2817.0,r
2818.0,r
2819.0,r
2820.0,r
2821.0,r
2822.0,r
2823.0,r
2824.0,r
2825.0,r
2826.0,r
2827.0,r
2828.0,r
2829.0,r
2830.0,r
2831.0,r
2832.0,r
2833.0,r
2834.0,r
2835.0,G
2836.0,G
2837.0,G
2838.0,G
2839.0,G
2840.0,G
2841.0,G
2842.0,G
2843.0,G
2844.0,G
2845.0,G
2846.0,G
2847.0,G
2848.0,G
2849.0,r
2850.0,r
2851.0,r
2852.0,r
2853.0,r
2854.0,r
2855.0,r
2856.0,r
2857.0,r
2858.0,r
2859.0,r
2860.0,r
2861.0,r
2862.0,r
2863.0,r
2864.0,r
2865.0,r
2866.0,r
2867.0,r
2868.0,r
2869.0,r
2870.0,r
2871.0,r
2872.0,r
2873.0,r
2874.0,r
2875.0,r
2876.0,r
2877.0,r
2878.0,r
2879.0,r
2880.0,G
2881.0,G
2882.0,G
2883.0,G
2884.0,G
2885.0,G
2886.0,G
2887.0,G
2888.0,G
2889.0,G
2890.0,G
2891.0,G
2892.0,G
2893.0,G
2894.0,G
2895.0,G
2896.0,G
2897.0,G
2898.0,G
2899.0,r
2900.0,r
2901.0,r
2902.0,r
2903.0,r
2904.0,r
2905.0,r
2906.0,r
